Date,Open,High,Low,Close,Volume
2010-01-04,4054.8644806317066,4056.5715810698957,3970.352294921875,3970.352294921875,6776
2010-01-05,4012.181132672008,4020.7180631374654,3844.0112689784346,3875.596435546875,9567
2010-01-06,3883.279694300196,3919.9868796467845,3817.548228402568,3918.279541015625,6503
2010-01-07,3884.1330509226273,4009.620410297158,3825.2309424862783,3962.66943359375,9115
2010-01-08,3995.1082682704314,3995.1082682704314,3867.91357421875,3867.91357421875,5308
2010-01-11,3916.5719779563783,3916.5719779563783,3826.0844642260736,3832.913818359375,3812
2010-01-12,3803.0357305021384,3815.8406503878605,3721.93846010098,3787.669921875,7029
2010-01-13,3798.7675949651093,3879.0113170865393,3760.3530724696725,3824.377197265625,8135
2010-01-14,3822.670076763622,3865.352826403986,3768.8897455517526,3818.401611328125,8374
2010-01-15,3768.88952194489,3809.8649305978633,3713.40185546875,3713.40185546875,9628
2010-01-18,3730.4752247558313,3768.8897470654524,3635.719482421875,3635.719482421875,5945
2010-01-19,3635.719303726814,3636.5728539187085,3544.3780049069815,3555.4755859375,12670
2010-01-20,3558.036360549146,3558.036360549146,3327.549483497432,3336.0859375,29564
2010-01-21,3350.59843472604,3448.768853225591,3295.110765471629,3414.62255859375,17234
2010-01-22,3406.939654318456,3525.597897218892,3394.9885226237147,3505.963623046875,14654
2010-01-26,3437.6711781368194,3448.76875930334,3253.2814778536526,3377.915283203125,7996
2010-01-27,3389.013138864852,3397.5495939370876,3277.184244118277,3305.354736328125,7097
2010-01-28,3338.6473203423834,3363.403134085036,3182.42834301231,3218.28173828125,9693
2010-01-29,3243.03756311097,3290.8423248793674,3208.0377205219334,3243.89111328125,7842
2010-02-01,3284.013144484122,3363.403076171875,3238.769507017305,3363.403076171875,4866
2010-02-02,3435.9639157664697,3437.671254298323,3336.086159233632,3389.012939453125,5844
2010-02-03,3400.11029124513,3406.0860951661634,3315.598581288474,3382.18359375,7363
2010-02-04,3337.7935141681105,3354.8666614812246,3126.086868428412,3192.672119140625,8802
2010-02-05,3141.4527532060333,3189.2575192214836,2992.0631272582464,3073.160400390625,11001
2010-02-08,3110.720977983941,3111.5747662763083,2970.7216022528532,2979.258056640625,13424
2010-02-09,3039.014050933847,3141.4526973812513,3001.453317075173,3107.306640625,9607
2010-02-10,3141.4526856547895,3162.79406033128,3013.404437595846,3094.501708984375,6943
2010-02-11,3109.01381638042,3190.111328125,3074.0139704562803,3190.111328125,7305
2010-02-12,3174.745586707664,3240.4770525235203,3151.696872349689,3201.208740234375,8392
2010-02-17,3254.135458947737,3365.9643512623475,3246.4525543140717,3313.891357421875,7954
2010-02-18,3299.3791701596924,3340.3545830672306,3226.818587777678,3305.354736328125,6869
2010-02-19,3295.1107487371137,3400.9640710867775,3269.5011469379556,3389.012939453125,11219
2010-02-22,3397.549201690257,3413.768797780025,3312.183708465993,3354.866455078125,9509
2010-02-23,3328.4032359264543,3349.7446103190805,3213.1596713526815,3232.7939453125,8597
2010-02-24,3235.35501510792,3275.4768773999385,3184.135570845683,3234.50146484375,7961
2010-02-25,3177.306276655944,3252.4279811829974,3128.6479620879027,3232.7939453125,4989
2010-02-26,3243.8914916922554,3243.8914916922554,3149.1357453614673,3201.208740234375,4084
2010-03-01,3253.2813786628394,3289.135009765625,3225.1108895935813,3289.135009765625,7617
2010-03-02,3298.525402859282,3394.1346933528534,3298.525402859282,3363.403076171875,9897
2010-03-03,3381.3300548820243,3447.9150675671603,3329.257062668542,3355.72021484375,11524
2010-03-04,3364.2569390596773,3443.6468725074483,3355.720246270531,3413.76904296875,9140
2010-03-05,3457.3052936361037,3478.646668171002,3426.5736762115584,3460.719970703125,7832
2010-03-08,3470.110135948563,3491.4515100059452,3394.988432601569,3469.25634765625,8197
2010-03-09,3437.6712140436794,3453.0370225611077,3407.793147220094,3429.134521484375,7311
2010-03-10,3434.256591796875,3453.0370776375767,3398.4031967438887,3434.256591796875,6068
2010-03-11,3414.6224658549086,3541.8171599102056,3405.232223181719,3488.890380859375,13531
2010-03-12,3573.402397091047,3585.3537667851215,3414.6225329951685,3447.9150390625,15492
2010-03-15,3425.72016369438,3431.695729582775,3270.354736328125,3270.354736328125,9665
2010-03-16,3295.9644134690834,3300.2328789916764,3243.8914197510217,3281.452392578125,8553
2010-03-17,3312.1836981187635,3330.110394498422,3230.2326439316093,3243.89111328125,6871
2010-03-18,3260.9643853189546,3310.476487427706,3200.3549401218143,3299.37890625,9441
2010-03-19,3308.7691767957963,3312.183853816049,3226.818356845652,3246.452392578125,3926
2010-03-22,3215.0053040993494,3258.6596295823865,3185.9025000218157,3226.98876953125,5396
2010-03-23,3253.523681640625,3269.7869216770264,3220.9969628343547,3253.523681640625,4964
2010-03-24,3220.141277992299,3252.6677598291362,3152.52001953125,3152.52001953125,5673
2010-03-25,3178.198680443568,3187.6143282527987,3090.034173557237,3142.248046875,6018
2010-03-26,3151.663865274664,3167.9273446376183,3098.594129616944,3131.120849609375,3383
2010-03-29,3132.8326904698265,3197.0302734375,3127.6970557205223,3197.0302734375,3450
2010-03-30,3209.0137240578024,3209.86958360074,3146.5283379518446,3192.750244140625,3990
2010-03-31,3192.750009262807,3286.90625,3159.3674310748215,3286.90625,9018
2010-04-01,3304.0257675203425,3306.5935848330996,3239.8284248335785,3261.2275390625,7040
2010-04-05,3270.643187520582,3287.762526650415,3243.2523404062413,3261.2275390625,2541
2010-04-06,3248.387775299161,3268.0749305312534,3219.284972187924,3259.515380859375,4142
