Date,Open,High,Low,Close,Volume
2010-01-04,19.587611889631845,20.09496307373047,19.435407129905837,20.09496307373047,2381400
2010-01-05,20.114467965920674,20.504737030891935,19.997387544180967,20.282283782958984,3001800
2010-01-06,20.294001818001203,20.82867029519984,20.208142103137515,20.711589813232422,2742800
2010-01-07,20.49303619897266,20.895014510122248,20.489134161805296,20.797447204589844,2543100
2010-01-08,20.801350945824577,21.16820499748519,20.684270467346128,21.000389099121094,2444500
2010-01-11,21.308698983123485,21.308698983123485,20.816960417132176,20.937944412231445,2785300
2010-01-12,20.606207776229766,20.879396438598633,20.41107323007464,20.879396438598633,2606400
2010-01-13,21.152585455973238,21.222834012868745,20.84817454650654,21.136974334716797,2635700
2010-01-14,21.144781404161204,21.386747845868005,20.957452401992207,21.133073806762695,1593300
2010-01-15,20.988674213570118,21.070631865757335,20.62572378837655,20.859886169433594,2225400
2010-01-18,20.80134694139633,21.211129281564002,20.80134694139633,21.152589797973633,1109300
2010-01-19,20.88330666764435,21.464808498381753,20.88330666764435,21.445295333862305,1889000
2010-01-20,21.03940961944627,21.234544192614486,20.684264755830473,20.859886169433594,3131700
2010-01-21,20.918430233165488,20.918430233165488,20.016909260332692,20.13789176940918,3569100
2010-01-22,20.02471427920301,20.118378058602275,19.587611679476666,19.71249771118164,3474800
2010-01-26,19.41588810566025,19.61882822029003,19.1622125901834,19.31441879272461,4364100
2010-01-27,19.372960556856217,19.372960556856217,18.7914603513863,19.04903793334961,3296100
2010-01-28,19.24417238259509,19.46662567968961,18.740724820219636,19.037328720092773,2382800
2010-01-29,19.17392579962665,19.493946417629036,18.93195782893504,19.08806610107422,3402000
2010-02-01,19.27539547437859,19.728107685056884,19.08416440083179,19.665664672851562,2664600
2010-02-02,19.97007417125765,19.97787973387817,19.552486247992277,19.665664672851562,2521700
2010-02-03,19.692986470308096,19.751527454716634,19.497851840625078,19.622737884521484,2879000
2010-02-04,19.365158562416028,19.435407142142868,18.475345204221306,18.56120491027832,4088600
2010-02-05,18.377777328225488,18.498761320396344,17.8353033595155,18.40509605407715,3775100
