ticker,weight_decay,val_loss_mean,val_loss_std,n_folds
PETR4.SA,0.0,0.01591118429787457,0.01127835613221863,10
PETR4.SA,1e-05,0.015839462797157467,0.011252477183796888,10
PETR4.SA,0.0001,0.015821730112656952,0.01126639276888041,10
PETR4.SA,0.001,0.015834882739000022,0.011256678345778662,10
VALE3.SA,0.0,0.01767755418550223,0.015415151923167603,10
VALE3.SA,1e-05,0.01768416854320094,0.015420328762430206,10
VALE3.SA,0.0001,0.0176921843085438,0.015426304770719984,10
VALE3.SA,0.001,0.01775079743238166,0.015448018899193538,10
AMER3.SA,0.0,0.015628430456854404,0.016619071186788636,10
AMER3.SA,1e-05,0.015746936108916997,0.0165519271172107,10
AMER3.SA,0.0001,0.015548203140497208,0.016618707183736377,10
AMER3.SA,0.001,0.015788270998746155,0.016745413154238158,10
ITUB4.SA,0.0,0.011055669374763965,0.008318981318736051,10
ITUB4.SA,1e-05,0.011035812087357044,0.008332100039105164,10
ITUB4.SA,0.0001,0.011043881764635444,0.008327867064563182,10
ITUB4.SA,0.001,0.011080776434391737,0.008335311812382971,10
